Field,Source,Order,Available,API Field Name,New?,Field Editability,Data Type,Help Text,Custom Logic,Field Visibility,Location of Field
Brex Website (F),Rollup,0,Brex Website ,Brex_Website_url__c,YES,Make it LOCKED - not editable,Formula,SoT for website on the account. Not editable. View the website inputs field in order to verify source.,,Visible to all,Screenshot - replace where standard field is
,Manual,1,SFDC Override Website,SFDC_Override_Website__c,YES,**New override field - only editable by admins/managers,URL(255),"If you think the website displaying on the account is incorrect, please file a #frontline ticket or report it to your manager in order to have it updated",,Visible to all,Screenshot
,KYC,2,KYC Override URL,KYC_URL__c,YES,Editable only by admins,URL,This is the verified website of the company after manual KYC review.,,,
,Product,3,Signup Company URL,Signup_Company_URL__c,,Not editable,,,,Visible to all,No change
,LLM Scraper,4,LLM Website,LLM_website__c,YES,Not editable,URL,"This is the website that the LLM scraper has determined is the ""true"" website for this account based on the company name, description, and address (street, city, state, country)",,Visible to all,Screenshot
,Zoominfo,5,ZoomInfo Website,ZoomInfo_Website__c,,Editable only by admins,,,,Visible to all,No change
,Harmonic,6,Harmonic Website,Harmonic_Website__c,,Editable only by admins,,,,Visible to all,No change
,LinkedIn,7,LinkedIn Website,LinkedIn_Website__c,YES,Editable only by admins,URL,This is the website from LinkedIn,,Visible to all,Screenshot
,Clay,8,Clay Website,Clay_Website__c,YES,Editable only by admins,URL(255),"This website is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,Visible to all,"On ""other information"" - create ""Clay"" section below YC/Techstars. Screenshot"
,Standard Website,9,Website,Website,,Editable only by admins,,Website field used for new account creation.,,Visible to all,Screenshot
,,,,,,,,,,,
Brex Industry,Rollup,0,Brex Industry,Brex_Industry__c,YES,Make it LOCKED - not editable,Text field to be populated in Flow,SoT for industry on the account. Not editable. View the industry input fields in order to verify source.,Return the Industry value from the highest Ievel,Visible to all,"Above ""billing address"" screenshot, Read-Only"
,Manual,1,SFDC Override Industry,SFDC_Override_Industry__c,YES,**New override field - only editable by admins/managers,Text,"If you think the industry displaying on the account is incorrect, please file a #frontline ticket or report it to your manager in order to have it updated",,Visible to all,Screenshot
,Zoominfo,2,ZoomInfo Industry,ZoomInfo_Industry__c,,Editable only by admins,,,,Visible to all,No change
,Harmonic,3,Harmonic Industry,Harmonic_Industry__c,,Editable only by admins,,,,Visible to all,No change
,LinkedIn,4,LinkedIn Industry,LinkedIn_Industry__c,YES,Editable only by admins,Text,This is the industry from LinkedIn,,Visible to all,Screenshot
,Product,5,Signup Company Industry,Signup_Company_Industry__c,YES,Not editable,Formula,Signup Company Industry from the Primary Brex Account,BrAD.Signup_Company_Industry__c,Visible to all,No change
,Clay,6,Clay Industry,Clay_Industry__c,YES,Editable only by admins,Text,"This industry is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,Visible to all,"On ""other information"" - create ""Clay"" section below YC/Techstars. Screenshot"
,,,,,,,,,,,
